"编号","开始答题时间","结束答题时间","答题时长","自定义字段","1.性别","2.年龄","3.工作经验","4.行业背景","4.行业背景[选项填空]","5.工作部门","5.工作部门[选项填空]","6.目前工作是否与数据分析相关","7.数据分析过程中遇到的瓶颈","7.数据分析过程中遇到的瓶颈[选项填空]","8.期待得到提升的数据分析技术方向:数据库","8.期待得到提升的数据分析技术方向:ETL","8.期待得到提升的数据分析技术方向:可视化","8.期待得到提升的数据分析技术方向:数据挖掘","8.期待得到提升的数据分析技术方向:Excel基础","8.期待得到提升的数据分析技术方向:其他____","8.期待得到提升的数据分析技术方向:其他____[选项填空]","9.认识-工作簿/工作表/区域/单元格","10.筛选与排序","11.冻结窗口","12.条件格式","13.数据分列","14.保护工作表结构","15.加减乘除","16.Vlookup函数","17.帮助功能","18.绝对引用/相对引用","19.函数嵌套","20.名称管理器","21.柱状图/折线图","22.趋势线","23.组合图","24.主次坐标","25.漏斗图","26.仪表盘","27.插入透视表","28.行/列/筛选","29.计算切换","30.切片器","31.数据透视图","32.布局调整",
"15","09-Sep-2019 22:10:51","09-Sep-2019 22:12:34","103","","A.男","C.25-30(包含25)","B.1-3年","A.待就业","","G.其他","研发","B.否","B.有业务思维，但不懂如何实现","","","","","D.数据挖掘","","","","A.Yes","A.Yes","A.Yes","A.Yes","B.No","B.No","A.Yes","B.No","B.No","B.No","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","B.No","B.No","A.Yes","A.Yes","B.No","B.No","A.Yes",
"16","09-Sep-2019 22:11:04","09-Sep-2019 22:12:35","91","","B.女","C.25-30(包含25)","B.1-3年","A.待就业","","B.IT","","B.否","A.小白，什么都不懂","","A.数据库","B.ETL","C.可视化","D.数据挖掘","E.Excel基础","","","A.Yes","A.Yes","B.No","B.No","B.No","B.No","A.Yes","B.No","B.No","B.No","B.No","B.No","B.No","B.No","B.No","B.No","B.No","B.No","B.No","A.Yes","B.No","B.No","B.No","B.No",
"17","09-Sep-2019 22:11:05","09-Sep-2019 22:12:44","99","","B.女","B.18-25(包含18)","B.1-3年","C.互联网","","F.管理","","B.否","A.小白，什么都不懂","","A.数据库","B.ETL","C.可视化","D.数据挖掘","E.Excel基础","","","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","B.No","B.No","B.No","B.No","B.No","B.No","A.Yes","A.Yes","A.Yes","B.No","B.No","B.No","B.No","B.No","B.No","B.No","B.No","B.No",
"18","09-Sep-2019 22:10:45","09-Sep-2019 22:12:46","121","","A.男","B.18-25(包含18)","B.1-3年","F.自由职业者","","F.管理","","B.否","A.小白，什么都不懂","","A.数据库","B.ETL","C.可视化","D.数据挖掘","E.Excel基础","","","A.Yes","A.Yes","A.Yes","B.No","A.Yes","B.No","A.Yes","A.Yes","B.No","B.No","B.No","B.No","A.Yes","A.Yes","B.No","B.No","B.No","B.No","B.No","A.Yes","B.No","B.No","B.No","B.No",
"19","09-Sep-2019 22:11:17","09-Sep-2019 22:12:47","90","","A.男","C.25-30(包含25)","B.1-3年","B.金融","","F.管理","","A.是","D.技术和业务都略懂，期望得到进一步提升","","","","C.可视化","D.数据挖掘","","","","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes",
"20","09-Sep-2019 22:11:03","09-Sep-2019 22:12:48","105","","A.男","C.25-30(包含25)","D.5-10年","G.其他","房地产信息管理","A.运营","","B.否","D.技术和业务都略懂，期望得到进一步提升","","","B.ETL","C.可视化","","","","","A.Yes","A.Yes","B.No","A.Yes","B.No","B.No","A.Yes","A.Yes","A.Yes","B.No","B.No","B.No","A.Yes","A.Yes","A.Yes","A.Yes","B.No","B.No","B.No","A.Yes","B.No","B.No","A.Yes","B.No",
"21","09-Sep-2019 22:10:15","09-Sep-2019 22:12:48","153","","A.男","D.30-40(包含30)","D.5-10年","G.其他","实体零售业","F.管理","","B.否","A.小白，什么都不懂","","A.数据库","B.ETL","C.可视化","D.数据挖掘","E.Excel基础","","","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","B.No","B.No","B.No","B.No","A.Yes","B.No","B.No","A.Yes","B.No","B.No","A.Yes","B.No","B.No","B.No","B.No","B.No",
"22","09-Sep-2019 22:10:42","09-Sep-2019 22:12:48","126","","A.男","C.25-30(包含25)","D.5-10年","C.互联网","","B.IT","","B.否","B.有业务思维，但不懂如何实现","","A.数据库","","","D.数据挖掘","","","","A.Yes","A.Yes","A.Yes","A.Yes","B.No","B.No","A.Yes","A.Yes","B.No","A.Yes","A.Yes","B.No","A.Yes","A.Yes","B.No","A.Yes","B.No","B.No","B.No","A.Yes","A.Yes","B.No","B.No","A.Yes",
"23","09-Sep-2019 22:10:46","09-Sep-2019 22:12:49","123","","A.男","C.25-30(包含25)","C.3-5年","E.制造业","","G.其他","项目管理算哪个？","B.否","A.小白，什么都不懂","","A.数据库","B.ETL","C.可视化","D.数据挖掘","E.Excel基础","","","A.Yes","A.Yes","A.Yes","B.No","B.No","B.No","A.Yes","B.No","B.No","B.No","B.No","B.No","A.Yes","A.Yes","B.No","B.No","B.No","B.No","B.No","B.No","B.No","B.No","B.No","B.No",
"24","09-Sep-2019 22:10:43","09-Sep-2019 22:12:55","132","","A.男","C.25-30(包含25)","B.1-3年","C.互联网","","A.运营","","A.是","D.技术和业务都略懂，期望得到进一步提升","","A.数据库","B.ETL","C.可视化","D.数据挖掘","","","","A.Yes","A.Yes","A.Yes","A.Yes","A.Yes","B.No","A.Yes","A.Yes","B.No","A.Yes","B.No","B.No","A.Yes","A.Yes","A.Yes","A.Yes","B.No","B.No","A.Yes","A.Yes","A.Yes","B.No","A.Yes","B.No",
